# Borussia Monchengladbach 2-2 1. FC Heidenheim | Full Match | Bundesliga MD28 2026-04-04
# Generated from Sportradar Extended API (1089 events)
# Format: mm:ss|priority|message
# Total speak events: 898
#
45:00|APPEND|Scally to Diks.
45:00|INTERRUPT|Mainka forces a save from 9 meters.
45:00|INTERRUPT|Corner kick for Heidenheim, taken by Dorsch.
45:00|APPEND|Pieringer whips in a cross and finds a teammate.
45:00|APPEND|Foul by Heidenheim.
45:00|APPEND|Dorsch sends in a cross, but it's cleared.
45:00|INTERRUPT|The second half is underway!
45:04|APPEND|Pieringer to Ramaj.
45:21|APPEND|Zivzivadze to Pieringer.
45:22|APPEND|Elvedi to Sander.
45:24|APPEND|to Scally.
45:27|APPEND|to Sander.
45:29|APPEND|to Nicolas.
45:39|APPEND|Engelhardt to Reitz.
45:41|APPEND|to Diks.
45:42|APPEND|to Castrop.
45:47|APPEND|Busch to Dinkci.
45:51|APPEND|Castrop to Diks.
45:54|APPEND|to Engelhardt.
45:56|APPEND|to Mohya.
45:58|APPEND|to Machino.
46:00|APPEND|Foul by Heidenheim.
46:18|APPEND|Reitz to Diks.
46:20|APPEND|to Honorat.
46:21|APPEND|to Sander.
46:25|APPEND|to Scally.
46:26|APPEND|to Honorat.
46:28|APPEND|to Scally.
46:30|APPEND|Great tackle by Honsak!
46:32|APPEND|Niehues to Honsak.
46:34|APPEND|to Zivzivadze.
46:40|APPEND|Scally to Honorat.
46:45|APPEND|Great tackle by Zivzivadze!
46:46|APPEND|Niehues to Dinkci.
46:49|INTERRUPT|Dinkci fires a right-footed shot from 22 meters, but it goes wide.
46:50|APPEND|Goal kick for Gladbach.
47:10|APPEND|Diks to Nicolas.
47:20|APPEND|Scally sends in a cross, but it's cleared.
48:24|APPEND|Substitution for Heidenheim. Stergiou replaces Behrens.
48:51|INTERRUPT|Corner kick for Gladbach, taken by Honorat.
48:55|APPEND|Honorat sends in a cross, but it's cleared.
49:05|APPEND|Scally to Nicolas.
49:10|APPEND|to Reitz.
49:20|APPEND|to Honorat.
49:24|APPEND|to Elvedi.
49:28|APPEND|to Engelhardt.
49:33|APPEND|Smart interception by Pieringer.
49:40|APPEND|Zivzivadze to Dorsch.
49:43|APPEND|to Fohrenbach.
49:45|APPEND|to Mainka.
49:46|APPEND|to Honsak.
49:52|APPEND|to Fohrenbach.
50:00|APPEND|to Ramaj.
50:01|APPEND|to Fohrenbach.
50:10|APPEND|to Dorsch.
50:15|APPEND|to Zivzivadze.
50:23|APPEND|Honorat to Reitz.
50:29|APPEND|Dorsch to Honsak.
50:30|APPEND|to Dorsch.
50:36|APPEND|to Busch.
50:40|APPEND|Diks to Castrop.
50:50|APPEND|Dorsch to Dinkci.
50:54|APPEND|to Mainka.
50:56|APPEND|to Busch.
50:59|APPEND|to Mainka.
51:01|APPEND|to Dorsch.
51:03|APPEND|to Mainka.
51:06|APPEND|to Busch.
51:09|APPEND|to Mainka.
51:13|APPEND|to Ramaj.
51:16|APPEND|to Fohrenbach.
51:19|APPEND|to Mainka.
51:21|APPEND|to Stergiou.
51:26|APPEND|to Busch.
51:27|APPEND|to Dinkci.
51:29|APPEND|to Stergiou.
51:33|APPEND|to Fohrenbach.
51:37|APPEND|to Zivzivadze.
51:40|APPEND|Nicolas to Sander.
51:42|APPEND|to Scally.
51:44|APPEND|to Reitz.
51:53|APPEND|Elvedi to Nicolas.
52:25|APPEND|Offside called against Reitz of Gladbach.
52:37|APPEND|Throw-in for Heidenheim.
52:52|APPEND|Honsak to Zivzivadze.
52:57|APPEND|to Fohrenbach.
52:59|APPEND|Smart interception by Machino.
53:00|APPEND|Throw-in for Heidenheim.
53:01|APPEND|Fohrenbach to Ramaj.
53:03|APPEND|to Fohrenbach.
53:06|APPEND|to Ramaj.
53:14|APPEND|Pieringer to Dinkci.
53:15|APPEND|to Niehues.
53:18|APPEND|to Stergiou.
53:20|APPEND|to Dinkci.
53:22|APPEND|to Stergiou.
53:23|APPEND|to Niehues.
53:25|APPEND|to Dorsch.
53:29|APPEND|to Fohrenbach.
53:36|APPEND|Throw-in for Heidenheim.
53:46|APPEND|Fohrenbach to Dorsch.
53:51|APPEND|to Fohrenbach.
53:53|APPEND|to Mainka.
53:55|APPEND|to Ramaj.
53:57|APPEND|to Fohrenbach.
54:03|APPEND|to Pieringer.
54:09|APPEND|to Niehues.
54:11|APPEND|to Dinkci.
54:13|APPEND|to Zivzivadze.
54:20|INTERRUPT|Niehues fires a right-footed shot from 23 meters, but it goes wide.
54:21|APPEND|Goal kick for Gladbach.
54:43|APPEND|Diks to Nicolas.
54:49|APPEND|to Machino.
54:52|APPEND|to Mohya.
54:55|APPEND|to Reitz.
54:58|APPEND|to Machino.
55:01|APPEND|to Engelhardt.
55:03|APPEND|to Mohya.
55:07|APPEND|to Machino.
55:10|APPEND|to Honorat.
55:13|APPEND|Honorat sends in a cross, but it's cleared.
55:31|APPEND|Throw-in for Gladbach.
55:59|APPEND|Fohrenbach to Ramaj.
56:14|APPEND|Niehues to Fohrenbach.
56:16|APPEND|to Dorsch.
56:20|APPEND|to Mainka.
56:22|APPEND|to Dorsch.
56:24|APPEND|to Pieringer.
56:27|APPEND|to Honsak.
56:31|APPEND|to Niehues.
56:33|APPEND|to Dorsch.
56:35|APPEND|to Niehues.
56:37|APPEND|to Dinkci.
56:38|APPEND|to Dorsch.
56:39|APPEND|to Honsak.
56:40|APPEND|to Fohrenbach.
56:44|APPEND|to Dinkci.
56:48|APPEND|to Honsak.
56:53|APPEND|to Dorsch.
56:57|APPEND|to Stergiou.
56:58|APPEND|to Busch.
57:00|APPEND|to Mainka.
57:02|APPEND|to Fohrenbach.
57:04|APPEND|to Honsak.
57:07|APPEND|to Mainka.
57:10|APPEND|to Busch.
57:15|APPEND|to Stergiou.
57:17|APPEND|to Dinkci.
57:20|APPEND|to Mainka.
57:22|APPEND|to Dorsch.
57:24|APPEND|to Fohrenbach.
57:26|APPEND|to Mainka.
57:29|APPEND|to Ramaj.
57:31|APPEND|to Busch.
57:41|APPEND|Diks to Reitz.
57:45|APPEND|to Mohya.
57:49|APPEND|to Honorat.
57:54|APPEND|Busch to Dorsch.
57:57|APPEND|Dorsch beats his man with a skillful dribble!
58:03|APPEND|Dorsch to Dinkci.
58:08|APPEND|Elvedi to Elvedi.
58:08|APPEND|Smart interception by Elvedi.
58:10|APPEND|Engelhardt to Mohya.
